City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
88,port hardy,75,CA,1595624339,63,50.7,-127.42,64.4,12.75
89,payyannur,88,IN,1595624339,87,12.1,75.2,77.59,7.25
90,mangai,2,CD,1595624340,39,-4.05,19.53,77.63,0.18
91,ponca city,20,US,1595624340,52,36.71,-97.09,91.99,10.29
92,mahebourg,75,MU,1595624340,64,-20.41,57.7,68,13.87
93,jamestown,90,US,1595624340,78,42.1,-79.24,80.01,9.17
94,weligama,97,LK,1595624341,87,5.97,80.42,78.87,8.77
95,ponta do sol,0,PT,1595624341,61,32.67,-17.1,71.01,3.47
96,eureka,90,US,1595624232,72,40.8,-124.16,66.99,6.93
97,san luis,0,AR,1595624292,44,-33.3,-66.34,49.41,8.43
98,vila franca do campo,40,PT,1595624342,73,37.72,-25.43,69.8,9.17
99,smithers,75,CA,1595624343,67,54.78,-127.17,60.8,2.24
100,kununurra,0,AU,1595624343,34,-15.77,128.73,55.4,4.7
101,oga,75,IT,1595624343,87,46.46,10.35,59,2.24
102,hermanus,0,ZA,1595624343,87,-34.42,19.23,48.99,1.99
103,chake chake,67,TZ,1595624344,71,-5.25,39.77,75.47,15.66
104,kihei,20,US,1595624083,55,20.79,-156.47,87.8,23.04
105,bulolo,23,PG,1595624344,77,-7.2,146.65,68.2,2.13
106,bundaberg,90,AU,1595624344,88,-24.85,152.35,63,8.05
107,kaitangata,64,NZ,1595624345,56,-46.28,169.85,48.99,10
108,alice springs,0,AU,1595624107,60,-23.7,133.88,42.8,8.05
109,komsomolskiy,40,UZ,1595624345,41,40.43,71.72,78.8,6.93
110,beloha,0,MG,1595624345,74,-25.17,45.05,59.92,11.54
111,anadyr,64,RU,1595624345,51,64.75,177.48,62.6,17.9
112,provideniya,100,RU,1595624346,67,64.38,-173.3,49.53,7.27
113,worland,1,US,1595624346,17,44.02,-107.96,91.99,6.93
114,lagoa,0,PT,1595624346,76,39.05,-27.98,70.03,10.98
115,cherskiy,10,RU,1595624346,60,68.75,161.3,68.88,0.65
116,naze,90,JP,1595624347,88,28.37,129.48,82.4,10.29
117,esperance,0,AU,1595624347,87,-33.87,121.9,44.6,11.41
118,harlingen,40,US,1595624319,52,26.19,-97.7,93.2,11.41
119,sept-iles,75,CA,1595624121,53,50.2,-66.38,73.4,11.41
120,pangai,40,TO,1595624347,83,-19.8,-174.35,77,17.22
121,sanchor,93,IN,1595624348,61,24.76,71.77,89.74,11.39
122,airai,56,TL,1595624348,81,-8.93,125.41,51.84,2.93
123,rocha,100,UY,1595624348,88,-34.48,-54.33,46.78,7.7
124,tiksi,20,RU,1595624349,65,71.69,128.87,62.82,8.23
125,taoudenni,0,ML,1595624349,7,22.68,-3.98,105.46,15.55
126,mar del plata,75,AR,1595623794,75,-38,-57.56,44.6,20.8
127,atbasar,47,KZ,1595624350,89,51.8,68.33,62.04,5.08
128,saldanha,0,ZA,1595624350,54,-33.01,17.94,53.6,1.12
129,carnarvon,0,AU,1595624350,76,-24.87,113.63,51.8,8.05
130,laguna,5,US,1595624350,37,38.42,-121.42,88,8.05
131,lazaro cardenas,58,MX,1595624350,65,17.96,-102.2,86.31,7.25
132,murshidabad,99,IN,1595624351,91,24.18,88.27,78.94,5.91
133,arraial do cabo,0,BR,1595624351,73,-22.97,-42.03,75.2,18.34
134,hit,0,IQ,1595624351,17,33.64,42.83,94.73,4.68
135,tyumentsevo,83,RU,1595624352,96,53.32,81.5,60.91,6.58
136,jasper,20,US,1595624352,37,37.2,-94.35,96.8,11.41
137,narsaq,75,GL,1595624352,62,60.92,-46.05,57.2,8.05
138,walla walla,1,US,1595624352,24,46.06,-118.34,80.01,13.87
139,victoria,100,HK,1595624353,79,22.29,114.16,84,5.99
140,cururupu,90,BR,1595624353,78,-1.83,-44.87,78.58,4.12
141,santa cruz de la palma,37,ES,1595624353,78,28.68,-17.76,71.6,18.34
142,staraya poltavka,47,RU,1595624353,54,50.48,46.48,66.87,7.7
143,new norfolk,100,AU,1595624354,84,-42.78,147.06,41,2.86
144,jumla,72,NP,1595624354,72,29.27,82.18,61.36,0.38
145,antofagasta,0,CL,1595624204,62,-23.65,-70.4,59,18.34
146,mindelo,75,CV,1595624355,74,16.89,-24.98,80.6,14.99
147,jining,51,CN,1595624355,92,35.41,116.58,69.48,3.8
148,lebu,93,CL,1595624355,77,-37.62,-73.65,49.5,10.02
149,kristiansund,40,NO,1595624355,71,63.11,7.73,53.6,11.41
150,nikolskoye,40,RU,1595624355,87,59.7,30.79,55,4.47
151,kapaa,1,US,1595624356,74,22.08,-159.32,82.4,11.41
152,bathsheba,75,BB,1595624356,74,13.22,-59.52,86,20.8
153,gedo,100,ET,1595624356,100,9.02,37.45,53.56,3.04
154,college,75,US,1595624356,63,64.86,-147.8,62.6,3.36
155,mehamn,12,NO,1595624357,82,71.04,27.85,59,10.29
156,butaritari,32,KI,1595624357,80,3.07,172.79,81.99,17.38
157,tevriz,0,RU,1595624357,95,57.51,72.4,52.23,3.22
158,hemnesberget,75,NO,1595624357,87,66.23,13.63,55,3.36
159,bonthe,100,SL,1595624358,83,7.53,-12.51,76.15,11.5
160,klaksvik,100,FO,1595624358,93,62.23,-6.59,51.8,3.36
161,santa cruz,75,BO,1595624358,82,-17.8,-63.17,59,6.93
162,floro,39,NO,1595624142,62,61.6,5.03,59,9.17
163,lerwick,52,GB,1595624359,82,60.15,-1.15,55.4,5.82
164,lompoc,10,US,1595624359,64,34.64,-120.46,69.01,10.29
165,ribeira grande,40,PT,1595624359,73,38.52,-28.7,71.6,8.05
166,toora-khem,38,RU,1595624359,77,52.47,96.11,47.53,1.05
167,kuloy,0,RU,1595624360,91,61.03,42.49,51.44,2.37
168,fortuna,20,US,1595624360,72,40.6,-124.16,66.99,9.17
169,calella,45,ES,1595624360,81,41.62,2.67,78.01,3.56
170,saint-philippe,90,RE,1595624360,59,-21.36,55.77,66.2,20.8
171,sembakung,100,ID,1595624361,95,3.82,117.25,72.63,1.92
172,sambava,87,MG,1595624361,73,-14.27,50.17,70.09,18.01
173,batagay-alyta,27,RU,1595624361,48,67.8,130.41,69.76,2.84
174,ghanzi,0,BW,1595624103,51,-21.57,21.78,48.74,7.83
175,bowen,40,AU,1595624362,93,-20.02,148.23,64.99,7.05
176,korla,0,CN,1595624362,65,41.76,86.15,82.99,1.01
177,cusuna,88,HN,1595624362,57,15.85,-85.23,88.25,10.96
178,yulara,0,AU,1595624362,70,-25.24,130.99,42.8,9.17
179,aquidauana,0,BR,1595624363,38,-20.47,-55.79,85.06,3.06
180,saint-francois,0,FR,1595624363,49,46.42,3.91,68,2.55
181,klobuck,100,PL,1595624363,100,50.9,18.94,64.99,6.06
182,bella union,100,UY,1595624364,92,-30.28,-57.6,46.02,5.68
183,brae,72,GB,1595624364,82,60.4,-1.35,55.4,5.82
184,chokurdakh,8,RU,1595624364,58,70.63,147.92,71.1,6.96
185,vanavara,18,RU,1595624364,95,60.34,102.28,45.43,5.35
186,pochutla,75,MX,1595624365,62,15.74,-96.47,89.01,6.93
187,wanning,73,CN,1595624365,81,18.8,110.4,80.69,6.11
188,hasaki,75,JP,1595624365,100,35.73,140.83,75.2,3.36
189,kudahuvadhoo,100,MV,1595624365,73,2.67,72.89,82.33,6.17
190,banamba,35,ML,1595624365,74,13.55,-7.45,79.72,7.63
191,half moon bay,75,US,1595624198,87,37.46,-122.43,77,5.82
192,amapa,100,BR,1595624366,94,1,-52,76.71,3.22
193,amudat,45,UG,1595624366,82,1.95,34.95,67.06,1.41
194,kargopol,5,RU,1595624366,87,61.51,38.95,49.08,1.99
195,vila,0,PT,1595624367,77,42.03,-8.16,71.01,5.82
196,shenzhen,100,CN,1595624131,93,22.55,114.07,86,7.49
197,hamilton,1,US,1595624367,45,39.18,-84.53,91,8.05
198,ust-tsilma,68,RU,1595624367,61,65.44,52.15,60.69,5.08
199,dzialdowo,25,PL,1595624368,67,53.24,20.17,62.6,5.82
200,freeport,75,US,1595624326,83,40.66,-73.58,79,6.11
201,bambous virieux,75,MU,1595624368,64,-20.34,57.76,69.01,13.87
202,broome,75,US,1595624368,54,42.25,-75.83,82.99,4.7
203,teguise,20,ES,1595624369,78,29.06,-13.56,73.4,24.16
204,lisakovsk,39,KZ,1595624369,96,52.54,62.49,59.92,9.53
205,scarborough,100,GB,1595624369,82,54.28,-0.4,57.99,1.99
206,abatskoye,16,RU,1595624369,80,56.29,70.46,52.79,4.27
207,qaanaaq,0,GL,1595624370,52,77.48,-69.36,49.59,2.64
208,keningau,20,MY,1595624370,100,5.34,116.16,75.2,2.24
209,talnakh,0,RU,1595624370,81,69.49,88.4,48.2,13.42
210,buedu,100,SL,1595624370,96,8.28,-10.37,71.42,4.99
211,prestea,29,GH,1595624370,86,5.43,-2.14,72.45,2.91
212,asau,40,RO,1595624371,95,46.43,26.4,62.01,2.86
213,wewak,98,PG,1595624371,86,-3.55,143.63,78.21,8.79
214,kruisfontein,0,ZA,1595624372,27,-34,24.73,62.47,8.99
215,kavieng,49,PG,1595624372,77,-2.57,150.8,83.08,15.32
216,sur,33,OM,1595624373,64,22.57,59.53,86.27,15.43
217,dongsheng,67,CN,1595624373,71,39.82,109.98,67.12,14.97
218,luderitz,0,NA,1595624373,21,-26.65,15.16,71.6,6.93
219,evans,20,US,1595624083,49,33.53,-82.13,93.2,9.17
220,kloulklubed,75,PW,1595624373,88,7.04,134.26,78.8,3.36
221,yuanping,88,CN,1595624374,58,38.72,112.76,65.35,1.86
222,poum,13,NC,1595624374,83,-20.23,164.02,73.9,14.61
223,deputatskiy,96,RU,1595624374,39,69.3,139.9,71.38,1.77
224,avinurme,100,EE,1595624344,93,58.98,26.86,55.99,1.99
225,aswan,9,EG,1595624348,18,24.09,32.91,92.03,11.27
226,vila velha,75,BR,1595624375,69,-20.33,-40.29,77,9.17
227,san quintin,0,MX,1595624375,63,30.48,-115.95,70.21,11.68
228,portland,90,US,1595624072,52,45.52,-122.68,68,9.17
229,bubaque,100,GW,1595624376,82,11.28,-15.83,80.42,11.16
230,te anau,99,NZ,1595624376,86,-45.42,167.72,43.75,5.77
231,hay river,75,CA,1595624376,76,60.82,-115.8,57.2,13.87
232,minjur,40,IN,1595624376,83,13.27,80.27,84.2,4.7
233,hambantota,83,LK,1595624376,82,6.12,81.12,79.59,16.78
234,vestmannaeyjar,22,IS,1595624377,72,63.44,-20.27,52.48,5.28
235,catuday,75,PH,1595624377,78,16.29,119.81,80.98,5.99
236,colombo,75,LK,1595624377,94,6.93,79.85,77,5.82
237,mount gambier,39,AU,1595624377,93,-37.83,140.77,35.6,4.34
238,fasa,20,IR,1595624377,60,28.94,53.65,71.6,4.7
239,tamuin,12,MX,1595624378,36,21.98,-98.75,98.67,5.37
240,kalmunai,100,LK,1595624378,79,7.42,81.82,80.33,3.42
