City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
88,barcelos,0,PT,1596061919,93,41.54,-8.62,73,1.01
89,qaanaaq,1,GL,1596061963,68,77.48,-69.36,43.21,3.11
90,port elizabeth,0,ZA,1596062151,67,-33.92,25.57,57.2,10.29
91,rocky mountain house,7,CA,1596062151,72,52.37,-114.92,75.06,9.22
92,cape town,75,ZA,1596061863,93,-33.93,18.42,57,6.93
93,vanavara,60,RU,1596062132,77,60.34,102.28,55.83,9.53
94,ambajogai,100,IN,1596062152,84,18.73,76.38,74.32,7.11
95,tura,100,IN,1596062152,99,25.52,90.22,74.17,5.97
96,new norfolk,16,AU,1596062152,76,-42.78,147.06,48,3.53
97,hobart,20,AU,1596061875,80,-42.88,147.33,48,3.36
98,khatanga,100,RU,1596062153,60,71.97,102.5,59.85,12.71
99,aksarka,92,RU,1596062153,92,66.56,67.8,45.95,7.25
100,lebu,100,CL,1596062153,71,-37.62,-73.65,45.18,2.19
101,tilichiki,100,RU,1596062153,92,60.47,166.1,53.74,2.75
102,ossora,88,RU,1596062154,82,59.24,163.07,59.83,6.11
103,port hedland,0,AU,1596061913,32,-20.32,118.57,55.4,6.93
104,dingle,71,PH,1596062154,87,11,122.67,79.25,7.58
105,mar del plata,0,AR,1596061590,87,-38,-57.56,48.99,4.7
106,horta,40,PT,1596062154,88,38.53,-28.63,75.2,16.11
107,okhotsk,99,RU,1596062063,85,59.38,143.3,57.4,14.9
108,ostersund,98,SE,1596062043,100,63.18,14.64,53.6,2.24
109,bocas del toro,93,PA,1596061950,67,9.33,-82.25,72,5.59
110,avarua,42,CK,1596062155,73,-21.21,-159.78,73.4,9.17
111,lata,0,PT,1596062156,69,40.16,-8.33,73,2.68
112,talaya,25,RU,1596062156,56,61.38,152.75,48.25,17.43
113,les cayes,0,HT,1596062156,66,18.2,-73.75,86.27,3.8
114,upernavik,44,GL,1596061964,88,72.79,-56.15,43.03,5.86
115,airai,48,TL,1596061964,54,-8.93,125.41,56.55,3.42
116,cayenne,63,GF,1596062157,78,4.93,-52.33,82.4,4.7
117,black river,20,JM,1596062157,66,18.03,-77.85,89.01,21.92
118,mahon,0,ES,1596062157,88,39.89,4.27,77,6.93
119,faanui,100,PF,1596062157,78,-16.48,-151.75,79.2,18.12
120,svetlogorsk,8,BY,1596062157,93,52.63,29.73,59.86,4.32
121,bogashevo,20,RU,1596062158,100,56.37,85.14,59,6.71
122,paamiut,88,GL,1596062158,91,61.99,-49.67,47.82,1.63
123,carnarvon,0,AU,1596062097,100,-24.87,113.63,51.8,8.05
124,radomsko,7,PL,1596062158,100,51.07,19.44,64.99,0.89
125,cherskiy,14,RU,1596062158,60,68.75,161.3,48.72,16.26
126,mednogorsk,0,RU,1596062159,70,51.41,57.59,60.69,2.77
127,san patricio,82,MX,1596062159,64,19.22,-104.7,85.46,5.68
